       Epoch  Generator Loss  Discriminator Loss
208      208       -0.030667           -0.042151
209      209       -0.127308           -0.085050
210      210       -0.166361           -0.034184
211      211       -0.159163           -0.101028
212      212       -0.116985           -0.034981
213      213       -0.103244           -0.150822
214      214       -0.023306           -0.003396
215      215       -0.105552           -0.029973
216      216       -0.045148           -0.007719
217      217        0.008756           -0.078817
218      218       -0.115105            0.001448
219      219       -0.168801            0.035443
220      220       -0.134356            0.044543
221      221       -0.137488           -0.069169
222      222       -0.052842           -0.166248
223      223       -0.047697           -0.107513
224      224        0.006507           -0.181501
225      225       -0.045469           -0.056547
226      226       -0.113239            0.026803
227      227       -0.114493           -0.183378
228      228       -0.157897           -0.017460
229      229       -0.121193           -0.097682
230      230        0.022032           -0.139966
231      231        0.024526           -0.094557
232      232        0.002361           -0.109060
233      233        0.022882           -0.124688
234      234       -0.003917            0.038532
235      235       -0.220823           -0.261274
236      236       -0.222003           -0.060206
237      237       -0.159032            0.037731
238      238       -0.140919           -0.135927
239      239       -0.129127           -0.044547
240      240       -0.071692            0.042124
241      241       -0.137024            0.101793
242      242       -0.111416           -0.036795
243      243       -0.144523            0.113589
244      244       -0.247494           -0.123570
245      245       -0.185831            0.075013
246      246       -0.188847           -0.124992
247      247       -0.160380           -0.102777
248      248       -0.089696           -0.107768
249      249        0.050657           -0.053782
250      250        0.042966           -0.085841
251      251       -0.069249           -0.089483
252      252       -0.140450           -0.087865
253      253       -0.212528            0.018389
254      254       -0.163894           -0.152668
255      255       -0.166608           -0.031272
256      256       -0.014208            0.007424
257      257        0.172271            0.141996
258      258        0.019181           -0.077214
259      259       -0.111241           -0.118390
260      260       -0.159611           -0.024375
261      261       -0.190455           -0.031624
262      262       -0.079071            0.076845
263      263        0.101218            0.044408
264      264       -0.035994           -0.033087
265      265       -0.084936            0.022170
266      266       -0.249184            0.030958
267      267       -0.259520            0.045679
268      268       -0.062470           -0.031665
269      269       -0.076703           -0.050211
270      270       -0.066167            0.014232
271      271       -0.072191            0.104451
272      272       -0.197261            0.023807
273      273       -0.227279            0.043424
274      274       -0.148011           -0.024782
275      275       -0.157611           -0.088989
276      276       -0.150621           -0.001096
277      277       -0.079706           -0.122826
278      278       -0.190898           -0.061557
279      279       -0.181866           -0.013851
280      280       -0.186778            0.065924
281      281       -0.108214           -0.064146
282      282       -0.205695            0.063507
283      283       -0.212406           -0.162309
284      284       -0.068500           -0.005505
285      285        0.049228            0.077521
286      286       -0.080563           -0.003786
287      287       -0.139454           -0.068452
288      288       -0.260534            0.146185
289      289       -0.230879            0.018170
290      290       -0.307470           -0.202385
291      291       -0.003756           -0.140942
292      292       -0.028770            0.139205
293      293        0.056930           -0.062810
294      294       -0.145983           -0.103325
295      295       -0.202822           -0.026355
296      296       -0.172871            0.094026
297      297       -0.187222           -0.090717
298      298       -0.120583           -0.005754
299      299       -0.284942            0.001853
300      300       -0.275465            0.173267
301      301       -0.294550           -0.141449
302      302       -0.162224            0.001680
303      303       -0.242139           -0.072562
304      304       -0.149381           -0.089103
305      305       -0.231773           -0.059931
306      306       -0.215281            0.049073
307      307       -0.112785           -0.019766
308      308       -0.297545            0.107656
309      309       -0.224181           -0.058649
310      310       -0.154033           -0.129683
311      311       -0.152654           -0.033664
312      312       -0.196658           -0.156516
313      313       -0.396264            0.014951
314      314       -0.318136           -0.015021
315      315       -0.155587           -0.108409
316      316       -0.154348           -0.081487
317      317       -0.145212           -0.076712
318      318       -0.129021            0.006974
319      319       -0.177686            0.013592
320      320       -0.198617           -0.096668
321      321       -0.239505            0.110856
322      322       -0.165368            0.004052
323      323       -0.080744            0.126059
324      324        0.003595            0.007178
325      325       -0.145390           -0.035057
326      326       -0.332263            0.099922
327      327       -0.241059           -0.010535
328      328       -0.116053            0.029402
329      329       -0.115239            0.031283
330      330       -0.027990           -0.015004
331      331       -0.182513           -0.072619
332      332       -0.208972           -0.126088
333      333       -0.199803           -0.016457
334      334       -0.157673           -0.032792
335      335       -0.089965           -0.073385
336      336       -0.140672           -0.062380
337      337       -0.041214            0.049210
338      338       -0.036017           -0.036965
339      339       -0.233908           -0.135015
340      340       -0.211913            0.052139
341      341       -0.225275           -0.057712
342      342       -0.099871           -0.110627
343      343        0.102251            0.112797
344      344        0.092586            0.099905
345      345       -0.147597            0.122051
346      346       -0.187360           -0.089071
347      347       -0.277892           -0.041422
348      348       -0.136397           -0.139297
349      349        0.019517           -0.065821
350      350       -0.121916           -0.024190
351      351       -0.107250           -0.070856
352      352       -0.122991           -0.144442
353      353       -0.348191            0.147940
354      354       -0.306809           -0.175349
355      355       -0.120169            0.065193
356      356       -0.114169           -0.025988
357      357       -0.244289            0.109433
358      358       -0.163818            0.038978
359      359       -0.201168           -0.047676
360      360       -0.246512            0.040150
361      361       -0.224769           -0.055191
362      362       -0.302515            0.015796
363      363       -0.256534            0.010589
364      364       -0.195799           -0.064008
365      365       -0.064981           -0.009764
366      366       -0.203744           -0.073084
367      367       -0.267895           -0.006793
368      368       -0.242957           -0.084654
369      369       -0.500723           -0.137236
370      370       -0.119421           -0.106137
371      371        0.013754           -0.132447
372      372       -0.092350           -0.206191
373      373       -0.185424           -0.072672
374      374       -0.224163           -0.147980
375      375       -0.278960           -0.020410
376      376       -0.337578           -0.041599
377      377       -0.267963            0.162395
378      378       -0.163191            0.101573
379      379       -0.235172           -0.018107
380      380       -0.337047           -0.031168
381      381       -0.315218           -0.042810
382      382       -0.409852           -0.049235
383      383       -0.227851           -0.138255
384      384       -0.181031           -0.196599
385      385       -0.195415           -0.111523
386      386       -0.354571           -0.159987
387      387       -0.266347           -0.056486
388      388       -0.138449           -0.040426
389      389       -0.105660           -0.000656
390      390       -0.171316            0.002641
391      391       -0.419558            0.006971
392      392       -0.311450           -0.044117
393      393       -0.245923           -0.065452
394      394       -0.210002            0.021141
395      395       -0.222668            0.017777
396      396       -0.299764           -0.037008
397      397       -0.356844           -0.093385
398      398       -0.257928           -0.183745
399      399       -0.148388           -0.077787
400      400       -0.160528            0.056256
401      401       -0.123999           -0.096856
402      402       -0.083065            0.025503
403      403       -0.260956            0.072073
404      404       -0.486306           -0.050438
405      405       -0.422470            0.027624
406      406       -0.151456           -0.080699
407      407       -0.039575           -0.070462
408      408       -0.121448           -0.011613
409      409       -0.218551           -0.020208
410      410       -0.357378            0.034131
411      411       -0.272277           -0.080802
412      412       -0.125232           -0.095634
413      413       -0.100558            0.015121
414      414       -0.158772            0.098801
415      415       -0.412084           -0.153243
416      416       -0.359264           -0.089176
417      417       -0.424941           -0.071438
418      418       -0.429518           -0.066781
419      419       -0.221322            0.026099
420      420       -0.138503           -0.042787
421      421       -0.160973           -0.022272
422      422       -0.274441           -0.179158
423      423       -0.243462            0.050317
424      424       -0.340555           -0.023673
425      425       -0.285499            0.000308
426      426       -0.248716           -0.106311
427      427       -0.275092            0.136956
428      428       -0.351395            0.060708
429      429       -0.174699           -0.086489
430      430       -0.198204           -0.063081
431      431       -0.196360           -0.095223
432      432       -0.208380            0.037094
433      433       -0.269534           -0.090170
434      434       -0.370850           -0.056652
435      435       -0.224814            0.006142
436      436       -0.216821           -0.088215
437      437       -0.184942           -0.066797
438      438       -0.289094           -0.049984
439      439       -0.254432           -0.018661
440      440       -0.236018           -0.053329
441      441       -0.215035            0.052767
442      442       -0.280151           -0.062104
443      443       -0.172097           -0.027127
444      444       -0.168416           -0.030768
445      445       -0.262851           -0.078830
446      446       -0.157031            0.138410
447      447       -0.283095           -0.030318
448      448       -0.268776            0.011784
449      449       -0.249531           -0.171655
450      450       -0.332114            0.015885
451      451       -0.353719           -0.059401
452      452       -0.253674           -0.199212
453      453       -0.246723           -0.021268
454      454       -0.165144           -0.107825
455      455       -0.073960            0.028061
456      456       -0.111355            0.092362
457      457       -0.366566           -0.119038
458      458       -0.445979           -0.009633
459      459       -0.397681           -0.085101
460      460       -0.378011           -0.106694
461      461       -0.290593            0.005319
462      462       -0.183914            0.041269
463      463       -0.178290            0.051466
464      464       -0.253749           -0.142118
465      465       -0.304975           -0.082901
466      466       -0.292431           -0.062579
467      467       -0.165410           -0.124766
468      468       -0.186235           -0.105571
469      469       -0.250199           -0.004628
470      470       -0.245259           -0.001491
471      471       -0.299924           -0.025236
472      472       -0.269970           -0.119612
473      473       -0.227067           -0.044254
474      474       -0.312244           -0.012713
475      475       -0.253123           -0.113718
476      476       -0.309960            0.063257
477      477       -0.205014           -0.146227
478      478       -0.186069           -0.117079
479      479       -0.130057            0.063621
480      480       -0.155514           -0.057040
481      481       -0.318411            0.047886
482      482       -0.339735            0.000398
483      483       -0.346346           -0.112550
484      484       -0.163553            0.062013
485      485       -0.236509           -0.058362
486      486       -0.344122           -0.031877
487      487       -0.137114            0.110285
488      488       -0.289237            0.023247
489      489       -0.417498           -0.113136
490      490       -0.218231           -0.017486
491      491       -0.161751           -0.120053
492      492       -0.048062            0.001079
493      493       -0.162879            0.006972
494      494       -0.140131            0.165502
495      495       -0.254917            0.017686
496      496       -0.183836            0.127145
497      497       -0.243242           -0.153768
498      498       -0.111977           -0.073901
499      499       -0.228986           -0.100040
500      500       -0.086252           -0.002769
501      501       -0.216522           -0.236408
502      502       -0.165050           -0.015654
503      503       -0.305750           -0.040455
504      504       -0.271856            0.004899
505      505       -0.247023           -0.267206
506      506       -0.337833           -0.135414
507      507       -0.152581           -0.080782
508      508       -0.281515           -0.020085
509      509       -0.329452           -0.041912
510      510       -0.288531            0.057705
511      511       -0.304433           -0.123901
512      512       -0.148726           -0.022350
513      513       -0.302219           -0.014350
514      514       -0.286144            0.005181
515      515       -0.137911            0.040727
516      516        0.010525           -0.062626
517      517       -0.002306            0.058860
518      518       -0.278252           -0.003356
519      519       -0.276991           -0.068132
520      520       -0.420016           -0.056255
521      521       -0.321395           -0.068421
522      522       -0.353624           -0.102318
523      523       -0.237455           -0.040619
524      524       -0.207731           -0.097042
525      525       -0.188643           -0.198737
526      526       -0.049687           -0.085791
527      527       -0.303218           -0.066483
528      528       -0.511377            0.091491
529      529       -0.339965            0.088330
530      530       -0.408593           -0.093367
531      531       -0.172751           -0.120429
532      532       -0.228351            0.157469
533      533       -0.232805            0.056789
534      534       -0.256275           -0.082423
535      535       -0.250803           -0.035728
536      536       -0.327924           -0.055652
537      537       -0.122652           -0.033893
538      538       -0.346128            0.148771
