Epoch,Generator Loss,Discriminator Loss
0,5.1417765617370605,-0.3008708655834198
1,5.473977088928223,-0.44180965423583984
2,5.18947696685791,-0.6115089654922485
3,5.447461128234863,-0.7382222414016724
4,5.784890651702881,-1.2262871265411377
5,5.480520725250244,-1.0823732614517212
6,5.551833629608154,-1.4106513261795044
7,5.2701029777526855,-1.0235991477966309
8,5.37822961807251,-1.2039283514022827
9,5.117271900177002,-1.096688151359558
10,5.028956413269043,-0.8121649026870728
11,4.954553604125977,-0.8089296817779541
12,4.313790321350098,-0.22190576791763306
13,4.281417369842529,-0.0984339714050293
14,4.608701229095459,-0.13798987865447998
15,3.992917060852051,0.32366061210632324
16,3.9550514221191406,0.3104016184806824
17,4.245772838592529,0.14766734838485718
18,4.14482307434082,0.1642250418663025
19,4.254750728607178,0.13479971885681152
20,4.345982551574707,-0.14837443828582764
21,3.7052783966064453,0.015546202659606934
22,3.872335433959961,-0.019109010696411133
23,4.199182987213135,-0.23501533269882202
24,3.875812292098999,-0.001971721649169922
25,3.871023178100586,0.08153796195983887
26,4.0582051277160645,-0.022687196731567383
27,3.539360523223877,0.1636641025543213
28,3.8243002891540527,-0.002524733543395996
29,3.698371171951294,0.004942417144775391
30,3.7727675437927246,0.07244861125946045
31,3.861907482147217,-0.001226663589477539
32,3.5364694595336914,0.018309712409973145
33,3.4481992721557617,-0.17412960529327393
34,3.0209054946899414,0.00630342960357666
35,3.3722007274627686,-0.02693021297454834
36,3.4066827297210693,0.008769392967224121
37,3.835007905960083,-0.2319747805595398
38,3.5784056186676025,-0.12652647495269775
39,3.3017475605010986,0.09674191474914551
40,3.0923120975494385,-0.05969810485839844
41,2.692472219467163,-0.09698903560638428
42,3.0225629806518555,0.01590287685394287
43,3.242453098297119,-0.05050116777420044
44,3.108182430267334,-0.021262943744659424
45,3.0628933906555176,-0.09465831518173218
46,2.877224922180176,-0.21200871467590332
47,2.659362316131592,-0.019353508949279785
48,2.6914467811584473,-0.009519457817077637
49,3.0450758934020996,-0.2258850336074829
50,2.684060573577881,-0.05010080337524414
51,2.7055296897888184,-0.08165168762207031
52,2.5196011066436768,-0.025710642337799072
53,2.6068334579467773,-0.12792813777923584
54,2.494152307510376,0.002069234848022461
55,2.504666805267334,-0.09547460079193115
56,2.660546064376831,-0.18593862652778625
57,2.390838146209717,0.08281874656677246
58,2.325162887573242,0.027814090251922607
59,2.2691562175750732,-0.10319942235946655
60,2.516505241394043,0.014359056949615479
61,2.367645502090454,-0.04361245036125183
62,2.074176549911499,0.006894022226333618
63,1.9022178649902344,0.06207016110420227
64,2.050513744354248,-0.0763384997844696
65,1.9142253398895264,0.04508969187736511
66,1.6543254852294922,-0.08325532078742981
67,1.6532061100006104,-0.07842084765434265
68,1.833661675453186,-0.05276283621788025
